v;P
0.597266515;13.831;
0.697266515;4.782;
0.797266515;2.119;
0.897266515;1.374;
0.997266515;1.287;
1.097266515;1.430;
1.197266515;1.640;
1.297266515;1.855;
1.397266515;2.050;
1.497266515;2.218;
1.597266515;2.357;
1.697266515;2.471;
1.797266515;2.562;
1.897266515;2.633;
1.997266515;2.687;
2.097266515;2.727;
2.197266515;2.755;
2.297266515;2.773;
2.397266515;2.783;
2.497266515;2.786;
2.597266515;2.784;
2.697266515;2.776;
2.797266515;2.765;
2.897266515;2.750;
2.997266515;2.733;
3.097266515;2.713;
3.197266515;2.692;
3.297266515;2.669;
3.397266515;2.645;
3.497266515;2.620;
3.597266515;2.595;
3.697266515;2.569;
3.797266515;2.542;
3.897266515;2.516;
3.997266515;2.489;
4.097266515;2.462;
4.197266515;2.435;
4.297266515;2.409;
4.397266515;2.382;
4.497266515;2.356;
4.597266515;2.329;
4.697266515;2.304;
4.797266515;2.278;
4.897266515;2.253;
4.997266515;2.228;
5.097266515;2.203;
5.197266515;2.179;
5.297266515;2.155;
5.397266515;2.131;
5.497266515;2.108;
5.597266515;2.085;
5.697266515;2.063;
5.797266515;2.041;
5.897266515;2.019;
5.997266515;1.998;
6.097266515;1.977;
6.197266515;1.956;
6.297266515;1.936;
6.397266515;1.916;
6.497266515;1.896;
6.597266515;1.877;
6.697266515;1.858;
6.797266515;1.840;
6.897266515;1.821;
6.997266515;1.803;
7.097266515;1.786;
7.197266515;1.768;
7.297266515;1.751;
7.397266515;1.735;
7.497266515;1.718;
7.597266515;1.702;
7.697266515;1.686;
7.797266515;1.670;
7.897266515;1.655;
7.997266515;1.640;
8.097266515;1.625;
8.197266515;1.610;
8.297266515;1.596;
8.397266515;1.582;
8.497266515;1.568;
8.597266515;1.554;
8.697266515;1.541;
8.797266515;1.528;
8.897266515;1.515;
8.997266515;1.502;
9.097266515;1.489;
9.197266515;1.477;
9.297266515;1.465;
9.397266515;1.453;
9.497266515;1.441;
9.597266515;1.429;
9.697266515;1.418;
9.797266515;1.406;
9.897266515;1.395;
9.997266515;1.384;
10.09726651;1.373;
10.19726651;1.363;
10.29726651;1.352;
