P;vl;vv 
0.236;0.000543;0.050225
0.246;0.000544;0.048268
0.267;0.000547;0.044627
0.301;0.000552;0.039773
0.366;0.000560;0.033028
0.440;0.000568;0.027618
0.525;0.000577;0.023238
0.622;0.000586;0.019660
0.731;0.000597;0.016712
0.855;0.000608;0.014265
0.993;0.000620;0.012217
1.146;0.000633;0.010491
1.317;0.000647;0.009025
1.506;0.000664;0.007772
1.714;0.000682;0.006691
1.942;0.000703;0.005752
2.193;0.000728;0.004927
2.457;0.000758;0.004194
2.769;0.000797;0.003529
2.963;0.000827;0.003152
3.098;0.000851;0.002906
3.168;0.000865;0.002782
3.311;0.000899;0.002532
3.430;0.000934;0.002323
3.537;0.000976;0.002124
3.599;0.001009;0.001997
3.655;0.001048;0.001868
3.696;0.001090;0.001756
3.724;0.001136;0.001652
3.741;0.001182;0.001565
3.749;0.001225;0.001495
3.759;0.001351;0.001351
