T;P;vl;vv 
224;0.236;0.000543;0.050225
225;0.246;0.000544;0.048268
227;0.267;0.000547;0.044627
230;0.301;0.000552;0.039773
235;0.366;0.000560;0.033028
240;0.440;0.000568;0.027618
245;0.525;0.000577;0.023238
250;0.622;0.000586;0.019660
255;0.731;0.000597;0.016712
260;0.855;0.000608;0.014265
265;0.993;0.000620;0.012217
270;1.146;0.000633;0.010491
275;1.317;0.000647;0.009025
280;1.506;0.000664;0.007772
285;1.714;0.000682;0.006691
290;1.942;0.000703;0.005752
295;2.193;0.000728;0.004927
300;2.457;0.000758;0.004194
305;2.769;0.000797;0.003529
308;2.963;0.000827;0.003152
310;3.098;0.000851;0.002906
311;3.168;0.000865;0.002782
313;3.311;0.000899;0.002532
314.6;3.430;0.000934;0.002323
316;3.537;0.000976;0.002124
316.8;3.599;0.001009;0.001997
317.5;3.655;0.001048;0.001868
318;3.696;0.001090;0.001756
318.35;3.724;0.001136;0.001652
318.55;3.741;0.001182;0.001565
318.65;3.749;0.001225;0.001495
318.723;3.759;0.001351;0.001351
