v;P;
0.697266515;105.500;
0.797266515;29.878;
0.897266515;12.193;
0.997266515;6.198;
1.097266515;3.889;
1.197266515;2.981;
1.297266515;2.659;
1.397266515;2.589;
1.497266515;2.626;
1.597266515;2.703;
1.697266515;2.789;
1.797266515;2.869;
1.897266515;2.937;
1.997266515;2.992;
2.097266515;3.034;
2.197266515;3.064;
2.297266515;3.083;
2.397266515;3.093;
2.497266515;3.094;
2.597266515;3.089;
2.697266515;3.079;
2.797266515;3.064;
2.897266515;3.045;
2.997266515;3.022;
3.097266515;2.998;
3.197266515;2.971;
3.297266515;2.942;
3.397266515;2.912;
3.497266515;2.881;
3.597266515;2.850;
3.697266515;2.818;
3.797266515;2.785;
3.897266515;2.753;
3.997266515;2.720;
4.097266515;2.688;
4.197266515;2.655;
4.297266515;2.623;
4.397266515;2.591;
4.497266515;2.560;
4.597266515;2.528;
4.697266515;2.498;
4.797266515;2.467;
4.897266515;2.437;
4.997266515;2.408;
5.097266515;2.379;
5.197266515;2.350;
5.297266515;2.322;
5.397266515;2.295;
5.497266515;2.267;
5.597266515;2.241;
5.697266515;2.215;
5.797266515;2.189;
5.897266515;2.164;
5.997266515;2.139;
6.097266515;2.115;
6.197266515;2.091;
6.297266515;2.068;
6.397266515;2.045;
6.497266515;2.023;
6.597266515;2.001;
6.697266515;1.979;
6.797266515;1.958;
6.897266515;1.937;
6.997266515;1.917;
7.097266515;1.897;
7.197266515;1.877;
7.297266515;1.858;
7.397266515;1.839;
7.497266515;1.820;
7.597266515;1.802;
7.697266515;1.784;
7.797266515;1.766;
7.897266515;1.749;
7.997266515;1.732;
8.097266515;1.716;
8.197266515;1.699;
8.297266515;1.683;
8.397266515;1.667;
8.497266515;1.652;
8.597266515;1.637;
8.697266515;1.622;
8.797266515;1.607;
8.897266515;1.593;
8.997266515;1.578;
9.097266515;1.564;
9.197266515;1.551;
9.297266515;1.537;
9.397266515;1.524;
9.497266515;1.511;
9.597266515;1.498;
9.697266515;1.485;
9.797266515;1.473;
9.897266515;1.461;
9.997266515;1.448;
10.09726651;1.437;
10.19726651;1.425;
10.29726651;1.413;
10.39726651;1.402;
10.49726651;1.391;
10.59726651;1.380;
10.69726651;1.369;
10.79726651;1.359;
