T;V;P
300.166;198.53;103.258
300.166;198.692;103.258
300.166;198.692;103.258
300.517;198.692;103.258
300.517;198.53;103.258
300.166;198.53;103.258
300.166;198.53;103.258
300.166;198.53;103.258
300.517;198.53;103.258
300.166;198.53;103.258
300.166;198.53;103.258
300.166;198.53;103.258
300.166;198.53;103.797
300.166;198.206;103.797
300.517;197.881;103.797
300.868;197.232;104.335
300.868;196.908;104.335
300.868;196.259;105.413
301.219;195.286;105.952
301.569;194.151;106.491
302.271;192.853;108.107
302.271;191.231;108.646
302.973;189.771;110.262
303.674;188.149;111.34
304.376;186.202;112.956
305.077;184.256;114.573
306.13;182.309;116.728
307.182;180.363;118.344
308.234;177.93;120.5
309.287;175.659;122.116
310.69;173.225;124.81
311.742;170.306;127.504
312.794;167.386;130.198
314.197;164.142;133.97
316.302;160.573;137.742
318.056;157.004;142.591
320.161;153.436;146.901
322.265;149.705;151.751
324.721;145.812;157.139
326.825;141.757;162.527
330.333;137.701;168.992
332.438;133.971;174.919
335.244;130.726;181.385
338.05;127.32;186.773
340.856;124.562;192.7
343.312;121.967;198.088
346.118;119.21;202.937
348.574;116.939;207.787
350.678;114.668;213.175
353.134;112.235;218.563
355.589;110.288;223.951
357.694;107.855;229.878
360.149;105.584;235.805
362.605;103.313;241.732
364.709;101.366;247.659
366.814;99.258;253.586
369.62;97.473;259.512
371.023;95.689;265.439
373.128;94.067;270.289
375.233;92.607;275.677
377.337;91.147;280.526
379.442;90.336;283.22
380.845;90.336;282.681
381.196;90.336;281.604
